data,id_marca_,vendas,valor_do_veiculo,nome,marca
2022-01-01,1,40,29000,Mobi,Fiat
2022-01-01,1,2,49000,argo,Fiat
2022-01-01,1,3,19000,Uno,Fiat
2022-01-01,2,35,35000,Up,Volkswagen
2022-01-01,3,42,32000,Picanto,Kia
2022-01-01,2,2,40000,Gol,Volkswagen
2022-01-01,7,4,60000,Lancer,Mitsubishi
2022-01-01,2,1,35000,Kombi,Volkswagen
2022-01-01,9,2,45200,onix,Chevrolet 
2022-01-01,10,1,270000,E-J7,JaC Motors
2022-01-01,11,5,70000,Captur,Renault
2022-02-01,1,1,8000,Palio,Fiat
2022-02-01,2,40,35000,Up,Volkswagen
2022-02-01,1,52,29000,Mobi,Fiat
2022-02-01,3,30,36000,Picanto,Kia
2022-02-01,5,15,45000,Yaris,Toyota
2022-02-01,6,2,28000,March,Nissan
2022-02-01,7,7,240000,L200,Mitsubishi
2022-02-01,2,6,30000,Gol,Volkswagen
2022-02-01,3,4,41000,Cerato,Kia
2022-02-01,10,6,145000,E-JS1,JaC Motors
2022-02-01,11,3,60000,Duster,Renault
2022-03-01,1,1,10000,Uno,Fiat
2022-03-01,2,30,35000,Up,Volkswagen
2022-03-01,3,25,145000,Picanto,Kia
2022-03-01,4,20,79000,208,Peugeot 
2022-03-01,1,30,30000,Mobi,Fiat
2022-03-01,2,1,28000,Gol,Volkswagen
2022-03-01,7,1,75000,Lancer,Mitsubishi
2022-03-01,8,2,300000,Forester,Subaru
2022-03-01,9,3,45000,onix,Chevrolet 
2022-03-01,10,5,25000,J5,JaC Motors
2022-03-01,11,1,30000,Sandero,Renault
2022-04-01,1,40,28000,Mobi,Fiat
2022-04-01,2,45,30000,Up,Volkswagen
2022-04-01,3,30,26000,Picanto,Kia
2022-04-01,4,25,85000,208,Peugeot 
2022-04-01,1,1,12000,Palio,Fiat
2022-04-01,6,5,30000,March,Nissan
2022-04-01,7,1,124000,Eclipse,Mitsubishi
2022-04-01,8,4,320000,XV,Subaru
2022-04-01,2,1,99000,Polo,Volkswagen
2022-04-01,10,1,14000,J2,JaC Motors
2022-04-01,11,5,25000,Clio,Renault
2022-05-01,1,50,25000,Mobi,Fiat
2022-05-01,2,45,29000,Up,Volkswagen
2022-05-01,3,35,19000,Picanto,Kia
2022-05-01,1,2,28000,argo,Fiat
2022-05-01,5,3,35000,Yaris,Toyota
2022-05-01,6,7,22000,March,Nissan
2022-05-01,2,2,90000,T-Cross,Volkswagen
2022-05-01,8,4,320000,Forester,Subaru
2022-05-01,9,3,40000,onix,Chevrolet 
2022-05-01,10,2,12000,J2,JaC Motors
